bodyId,x,y,z
455793743,18195,11528,10576
455793827,14508,10019,15168
455811760,6730,17822,5760
455815977,28066,31895,6008
456121649,11683,12823,8648
456134692,16059,15483,7912
456152222,5153,19810,4456
456152258,5772,18436,5080
456156825,6785,13384,11640
456174330,22471,35629,20104
456458549,14745,9559,13984
456462835,10468,15111,8904
456462919,10148,11615,14976
456467162,11413,11639,14224
456523994,15330,33085,21808
456808311,16555,12757,9712
456820863,19659,15334,8096
456833888,3933,19787,17772
456846996,22528,33384,11064
457175171,4944,14600,10400
457196643,7316,12858,12904
457507485,17296,15018,9536
457516092,15145,27764,5580
476545134,11635,14427,7176
477179700,6615,15105,7352
477262101,15375,15620,7480
477572961,12136,15663,7024
477861840,5804,16299,5552
477896729,9866,16241,7112
477900945,9233,17578,6624
477900959,9163,17669,6144
477909602,10652,16050,6704
477909679,9688,17495,5984
477909698,8718,17504,5960
478250407,10044,17144,6032
478250482,11316,16977,5540
478591447,8675,18142,5568
478613576,16696,17524,6208
478660968,17686,16878,5744
478928628,2634,25255,21312
479290982,250,13388,11728
479935033,691,17260,14456
480219247,3426,19389,7344
480258208,8917,11974,17064
480276374,2367,22445,15800
480297293,8803,18970,4672
480331310,16516,24157,3472
480664837,14878,23977,4040
482421242,12774,12255,15920
482684855,17567,16869,10128
482762280,23297,33954,12184
483337285,16256,9879,22336
483712161,681,20266,15488
484126552,3015,23335,16752
484130600,18922,31643,7680
484368420,13531,12613,15888
484696850,221,27675,19368
484735678,22342,33549,9256
484821546,18129,10881,17840
484911954,25763,31551,11776
485132675,18095,13165,11520
485511772,10071,31432,11664
486073415,33864,33482,21416
486496648,7534,13335,12432
486544396,14452,31021,8848
486815976,16092,14865,8912
486837442,15517,15712,9008
486841797,6767,17845,6576
486842208,12096,31738,19024
486880919,3564,25849,17408
487100556,7468,16245,8256
487143497,9966,13910,12936
487144598,3329,22184,17344
487160828,8903,15524,6664
487187476,22041,12789,14016
487489028,10689,10477,15752
487489064,12666,9985,15688
487493197,7796,15856,6952
487501700,8413,14175,9168
487834111,7213,17058,5920
487834131,15359,12381,9264
487834179,12040,12002,15776
487847296,9960,13394,9080
487882254,23536,16932,12096
487899562,22111,34763,12744
487925037,21020,28563,4448
487925063,21835,28559,3920
487968933,6282,28781,13880
488179585,17421,14469,9264
488179878,17328,15323,7776
488184014,7233,13394,9784
488188560,9964,14003,9296
488205572,16648,10264,12256
488231898,12053,31952,19680
488520820,10759,11438,13552
488533722,14248,11925,9472
488550675,17148,30964,7568
488559952,21155,33042,8080
488572496,25226,29289,6544
488922181,19534,29727,5352
507243409,12574,13730,7640
507260559,14771,14240,7920
507592981,14234,14154,7832
508292573,14224,15597,7408
508599181,9267,16832,5728
508599194,8536,16794,5824
508599211,8915,16929,6096
508599271,8284,17631,5664
508599276,8392,17668,5280
508616471,11764,15883,6200
508689623,20647,15700,7768
508897030,6607,15749,7800
508918609,7948,16278,6720
508935964,7084,17748,5240
508939879,9893,16563,6432
508939914,9621,17174,6344
508940291,8103,17114,5644
508940292,10276,16476,6904
508949033,10926,16353,6432
509013752,18446,16162,5888
509264220,7233,17595,5712
509695478,18089,17045,5288
509700197,19523,18644,4512
509928512,6394,17861,6004
510269590,6158,19153,5048
510278421,6744,18710,4888
510680365,19867,18841,6240
510987433,3441,25336,19208
511051477,4129,29079,28768
511271574,1546,24338,22352
511349908,2690,14290,11208
512635818,15128,30443,7632
512765910,21272,35026,12376
513447083,18341,20074,4272
513451621,21729,33433,9904
513784136,20111,9658,17432
514068564,15155,20524,4224
514375643,1047,26147,16568
514842241,13210,12286,15392
515385637,4772,16706,5840
515813661,13938,35122,21456
515852217,13709,12639,16528
516055524,5811,28902,17744
516409549,9354,31567,20360
516504076,20170,15492,11152
516832391,12528,29752,8048
516844782,19232,14718,13152
517169460,7951,12744,13176
517207902,23991,34336,13872
517506265,1382,26121,17336
517510393,18439,12394,9792
517514142,7529,15289,9320
517514588,18753,17533,7224
517838657,6201,18611,5448
517838849,2797,23317,10056
517847127,17738,13220,9584
517850316,11620,10988,16120
517854468,6052,13744,14832
517858947,16669,16847,7152
517871837,18941,12327,10064
517872280,27490,30642,5840
518187118,10876,11117,14040
518191547,9042,15204,7768
518195738,10669,15379,7560
518212987,18313,10792,12144
518528152,11186,10582,15576
518532490,9101,16408,6000
518558825,24274,31134,9496
518598175,4741,22486,6336
518861029,19754,14091,12736
518864844,17381,14687,8496
518864924,14657,9479,15200
518869381,17854,15655,7736
518869459,8742,11682,13392
518873469,16760,11263,10784
518873604,10229,13175,8736
518882016,12762,10734,13360
518899665,2251,15522,13104
518899771,3641,25088,15568
518930199,21981,33046,8624
519206240,12270,11538,16288
519210172,13700,11083,16144
519214622,17982,14515,8544
519214895,13461,15116,8352
519218919,10492,12223,14928
519223027,12483,12015,14480
519223428,12613,11621,14064
